wandb-name,wandb-project,wandb-entity,wandb-group,device,loss-type,threshold,zero-ablation,reset-subject,seed,task,torch-num-threads,model-type,test_kl_div,test_logit_diff,test_frac_correct,test_nll,test_match_nll,score,number_of_edges
launch-acdc-ioi-00066,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,1e-06,False,1,2161179548,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00067,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,2.5118864315095823e-06,False,1,3774022922,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00068,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,6.30957344480193e-06,False,1,1789519404,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00069,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,1.584893192461114e-05,False,1,1826682510,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00070,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,3.9810717055349695e-05,False,1,555396865,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00071,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0001,False,1,1183527906,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00072,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0002511886431509,False,1,2514299426,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00073,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0006309573444801,False,1,2845473146,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00074,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0015848931924611,False,1,3024870322,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00075,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0039810717055349,False,1,2060195420,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00076,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.01,False,1,2536869274,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00077,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0251188643150958,False,1,2563268350,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,3
launch-acdc-ioi-00078,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.0630957344480194,False,1,1386160849,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
launch-acdc-ioi-00079,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.1584893192461114,False,1,1944373115,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
launch-acdc-ioi-00080,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,0.3981071705534977,False,1,3664977133,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
launch-acdc-ioi-00081,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,kl_div,1.0,False,1,360690877,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
launch-acdc-ioi-00083,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,logit_diff,0.01,False,1,1088147654,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
launch-acdc-ioi-00084,jailbreak_llm,pariya_mehrbod,acdc-ioi,cuda,logit_diff,1.0,False,1,2359561373,ioi,4,attn-only-4l,12.75,-0.28125,-0.5799999833106995,15.8125,15.3125,inf,0
